rel_path,ext,doi,isbn,converted_md,ocr_text
Review/Unreadable/2013 - reviewing).pdf - 2013 - reviewing).pdf.pdf - 2013 - reviewing).pdf - 2013 - reviewing).pdf.pdf.pdf,.pdf,10.1016/j.ijnurstu.2011.09.012;10.1016/j.socscimed.2012.04.037;10.1080/14606925.2019.1595444;10.1080/14649365.2016.1228114;10.1080/1472586X.2010.523279;10.1080/19398441.2010.488028;10.1080/24735132.2018.1541699;10.1111/j.1548-7458.2008.00009.x;10.1145/3357236.3395513;10.1177/0049124110366233;10.1177/0735275112457914;10.1177/0741088396013004002;10.1177/0907568212447243;10.1177/1049732302239412;10.1177/1049732303260445;10.1177/1049732307308949;10.1177/1049732315616625;10.1177/1049732316648114;10.1177/1090198109342084;10.1177/109019819702400309,,converted_ocr/Review/Unreadable/2013 - reviewing).pdf - 2013 - reviewing).pdf.pdf - 2013 - reviewing).pdf - 2013 - reviewing).pdf.pdf.pdf.md,
Review/Unreadable/2014 - report.docx - 2014 - report.docx.docx - 2014 - report.docx - 2014 - report.docx.docx.docx,.docx,10.1016/j.patter.2021.100205;10.1145/3236386.3241340;10.1145/3287560.3287574;10.1145/3351095.3372873;10.1145/3442188.3445922;10.1177/1461444816676645,,converted_ocr/Review/Unreadable/2014 - report.docx - 2014 - report.docx.docx - 2014 - report.docx - 2014 - report.docx.docx.docx.md,
Review/Unreadable/2015 - book_or_monograph.pdf - 2015 - book_or_monograph.pdf.pdf - 2015 - book_or_monograph.pdf - 2015 - book_or_monograph.pdf.pdf.pdf,.pdf,10.4135/9781483346687.n50,9781452292243;9781483346687,converted_ocr/Review/Unreadable/2015 - book_or_monograph.pdf - 2015 - book_or_monograph.pdf.pdf - 2015 - book_or_monograph.pdf - 2015 - book_or_monograph.pdf.pdf.pdf.md,
Review/Unreadable/2015 - book_or_monograph_1.pdf - 2015 - book_or_monograph_1.pdf.pdf - 2015 - book_or_monograph_1.pdf - 2015 - book_or_monograph_1.pdf.pdf.pdf,.pdf,10.7208/chicago/9780226276663.001.0001,9780226276663;9789241596664,converted_ocr/Review/Unreadable/2015 - book_or_monograph_1.pdf - 2015 - book_or_monograph_1.pdf.pdf - 2015 - book_or_monograph_1.pdf - 2015 - book_or_monograph_1.pdf.pdf.pdf.md,
Review/Unreadable/2015 - journal_article.docx - 2015 - journal_article.docx.docx - 2015 - journal_article.docx - 2015 - journal_article.docx.docx.docx,.docx,10.3983/twc.2023.2200,,converted_ocr/Review/Unreadable/2015 - journal_article.docx - 2015 - journal_article.docx.docx - 2015 - journal_article.docx - 2015 - journal_article.docx.docx.docx.md,
Review/Unreadable/2015 - policy_or_guidance [2].docx - 2015 - policy_or_guidance [2].docx.docx - 2015 - policy_or_guidance [2].docx - 2015 - policy_or_guidance [2].docx.docx.docx,.docx,10.1073/pnas.1915768117;10.1093/idpl/ipab005;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1177/2053951715608873;10.2139/ssrn.2736395;10.2139/ssrn.3063289,,converted_ocr/Review/Unreadable/2015 - policy_or_guidance [2].docx - 2015 - policy_or_guidance [2].docx.docx - 2015 - policy_or_guidance [2].docx - 2015 - policy_or_guidance [2].docx.docx.docx.md,
Review/Unreadable/2015 - policy_or_guidance [3].docx - 2015 - policy_or_guidance [3].docx.docx - 2015 - policy_or_guidance [3].docx - 2015 - policy_or_guidance [3].docx.docx.docx,.docx,10.1073/pnas.1915768117;10.1093/idpl/ipab005;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1177/2053951715608873;10.2139/ssrn.2736395;10.2139/ssrn.3063289,,converted_ocr/Review/Unreadable/2015 - policy_or_guidance [3].docx - 2015 - policy_or_guidance [3].docx.docx - 2015 - policy_or_guidance [3].docx - 2015 - policy_or_guidance [3].docx.docx.docx.md,
Review/Unreadable/2015 - policy_or_guidance [4].docx - 2015 - policy_or_guidance [4].docx.docx - 2015 - policy_or_guidance [4].docx - 2015 - policy_or_guidance [4].docx.docx.docx,.docx,10.1073/pnas.1915768117;10.1093/idpl/ipab005;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1177/2053951715608873;10.2139/ssrn.2736395;10.2139/ssrn.3063289,,converted_ocr/Review/Unreadable/2015 - policy_or_guidance [4].docx - 2015 - policy_or_guidance [4].docx.docx - 2015 - policy_or_guidance [4].docx - 2015 - policy_or_guidance [4].docx.docx.docx.md,
Review/Unreadable/2015 - policy_or_guidance.docx - 2015 - policy_or_guidance.docx.docx - 2015 - policy_or_guidance.docx - 2015 - policy_or_guidance.docx.docx.docx,.docx,10.1073/pnas.1915768117;10.1093/idpl/ipab005;10.1145/3287560.3287596;10.1145/3287560.3287598;10.1177/2053951715608873;10.2139/ssrn.2736395;10.2139/ssrn.3063289,,converted_ocr/Review/Unreadable/2015 - policy_or_guidance.docx - 2015 - policy_or_guidance.docx.docx - 2015 - policy_or_guidance.docx - 2015 - policy_or_guidance.docx.docx.docx.md,
Review/Unreadable/2016 - Big Datas Disparate Impact.pdf - 2016 - Big Datas Disparate Impact.pdf.pdf - 2016 - Big Datas Disparate Impact.pdf - 2016 - Big Datas Disparate Impact.pdf.pdf.pdf,.pdf,10.15779/Z38BG31,,converted_ocr/Review/Unreadable/2016 - Big Datas Disparate Impact.pdf - 2016 - Big Datas Disparate Impact.pdf.pdf - 2016 - Big Datas Disparate Impact.pd__21659f44a787.md,
Review/Unreadable/2016 - book_or_monograph_1.pdf - 2016 - book_or_monograph_1.pdf.pdf - 2016 - book_or_monograph_1.pdf - 2016 - book_or_monograph_1.pdf.pdf.pdf,.pdf,,9781785333293;9781785333309,converted_ocr/Review/Unreadable/2016 - book_or_monograph_1.pdf - 2016 - book_or_monograph_1.pdf.pdf - 2016 - book_or_monograph_1.pdf - 2016 - book_or_monograph_1.pdf.pdf.pdf.md,
Review/Unreadable/2016 - journal_article.pdf - 2016 - journal_article.pdf.pdf - 2016 - journal_article.pdf - 2016 - journal_article.pdf.pdf.pdf,.pdf,10.1007/s11186-020-09411-3,,converted_ocr/Review/Unreadable/2016 - journal_article.pdf - 2016 - journal_article.pdf.pdf - 2016 - journal_article.pdf - 2016 - journal_article.pdf.pdf.pdf.md,
Review/Unreadable/2016 - journal_article_2.docx - 2016 - journal_article_2.docx.docx - 2016 - journal_article_2.docx - 2016 - journal_article_2.docx.docx.docx,.docx,10.22146/jh.15309;10.3390/rel13020118,,converted_ocr/Review/Unreadable/2016 - journal_article_2.docx - 2016 - journal_article_2.docx.docx - 2016 - journal_article_2.docx - 2016 - journal_article_2.docx.docx.docx.md,
Review/Unreadable/2016 - notes_or_journal_1.docx - 2016 - notes_or_journal_1.docx.docx - 2016 - notes_or_journal_1.docx - 2016 - notes_or_journal_1.docx.docx.docx,.docx,10.1136/medhum-2017-011255,,converted_ocr/Review/Unreadable/2016 - notes_or_journal_1.docx - 2016 - notes_or_journal_1.docx.docx - 2016 - notes_or_journal_1.docx - 2016 - notes_or_journal_1.docx.docx.docx.md,
Review/Unreadable/2016 - SAGE Reference.pdf - 2016 - SAGE Reference.pdf.pdf - 2016 - SAGE Reference.pdf - 2016 - SAGE Reference.pdf.pdf.pdf,.pdf,10.4135/9781483376493.n307,9781483376493;9781483376516,converted_ocr/Review/Unreadable/2016 - SAGE Reference.pdf - 2016 - SAGE Reference.pdf.pdf - 2016 - SAGE Reference.pdf - 2016 - SAGE Reference.pdf.pdf.pdf.md,
Review/Unreadable/2017 - 356.pdf - 2017 - 356.pdf.pdf - 2017 - 356.pdf - 2017 - 356.pdf.pdf.pdf,.pdf,10.7340/anuac2239-625X-2921,,converted_ocr/Review/Unreadable/2017 - 356.pdf - 2017 - 356.pdf.pdf - 2017 - 356.pdf - 2017 - 356.pdf.pdf.pdf.md,
"Review/Unreadable/2017 - BELGIAN OFFICE FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS.p - 2017 - BELGIAN OFFICE FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS.pdf - 2017 - BELGIAN OFFICE FOR SCIENTIFIC, TECHNICAL AND CULTURAL.pdf",.pdf,10.1558/pome.v15i1-2.79,,"converted_ocr/Review/Unreadable/2017 - BELGIAN OFFICE FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS.p - 2017 - BELGIAN OFFICE FOR SCIENTIFIC, TECHNICAL__dfb8b9436b46.md",
