rel_path,abs_path,ext,size_bytes,mtime_utc,pages_total,pages_ocrd,converted_md,ocr_text,doi,isbn,status,error
Review/Unreadable/1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf - 1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf - 1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf.pdf,.pdf,9056380,2026-02-17T09:54:08+00:00,0,,converted_ocr/Review/Unreadable/1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf - 1999 - book_or_monograph.pdf - 1999 - book_or_monograph.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/1999 - journal_article.docx - 1999 - journal_article.docx.docx - 1999 - journal_article.docx - 1999 - journal_article.docx.docx.docx,/mnt/d/LIBRARY/Review/Unreadable/1999 - journal_article.docx - 1999 - journal_article.docx.docx - 1999 - journal_article.docx - 1999 - journal_article.docx.docx.docx,.docx,38810,2025-04-17T00:33:36+00:00,0,,converted_ocr/Review/Unreadable/1999 - journal_article.docx - 1999 - journal_article.docx.docx - 1999 - journal_article.docx - 1999 - journal_article.docx.docx.docx.md,,,,ok,
Review/Unreadable/1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf - 1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf - 1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf.pdf,.pdf,10531260,2026-02-24T07:33:14+00:00,0,,converted_ocr/Review/Unreadable/1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf - 1999 - Paganisme(s) queer.pdf - 1999 - Paganisme(s) queer.pdf.pdf.pdf.md,,10.1558/pome.v15i1-2.79,,ok,
Review/Unreadable/1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf - 1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf - 1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf.pdf,.pdf,292359,2026-02-12T19:51:36+00:00,0,,converted_ocr/Review/Unreadable/1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf - 1999 - Resenas.pdf - 1999 - Resenas.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2000 - 77.pdf - 2000 - 77.pdf.pdf - 2000 - 77.pdf - 2000 - 77.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2000 - 77.pdf - 2000 - 77.pdf.pdf - 2000 - 77.pdf - 2000 - 77.pdf.pdf.pdf,.pdf,156418,2026-02-09T21:45:16+00:00,0,,converted_ocr/Review/Unreadable/2000 - 77.pdf - 2000 - 77.pdf.pdf - 2000 - 77.pdf - 2000 - 77.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2000 - Framing Processes and Social Movements An Overview and Assessme - 2000 - Framing Processes and Social Movements An Overview and Assessment.pdf - 2000 - Framing Processes and Social Movements An Overview.pdf,/mnt/d/LIBRARY/Review/Unreadable/2000 - Framing Processes and Social Movements An Overview and Assessme - 2000 - Framing Processes and Social Movements An Overview and Assessment.pdf - 2000 - Framing Processes and Social Movements An Overview.pdf,.pdf,359896,2026-02-09T20:35:06+00:00,0,,converted_ocr/Review/Unreadable/2000 - Framing Processes and Social Movements An Overview and Assessme - 2000 - Framing Processes and Social Movements A__09b8dfa72fb0.md,,,,ok,
Review/Unreadable/2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf - 2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf - 2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf.pdf,.pdf,125329,2026-02-09T21:47:46+00:00,0,,converted_ocr/Review/Unreadable/2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf - 2002 - audit_or_assessment [2].pdf - 2002 - audit_or_assessment [2].pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf - 2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf - 2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf.pdf,.pdf,170338,2021-12-24T15:43:44+00:00,0,,converted_ocr/Review/Unreadable/2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf - 2002 - bibliography.pdf - 2002 - bibliography.pdf.pdf.pdf.md,,,,ok,
Review/Unreadable/2002 - Martin Lepage - Microsoft Word-Dokument.doc - 2002 - Martin Lep - 2002 - Martin Lepage - Microsoft Word-Dokument.doc - 2002 - Martin Lepage - Microsoft Word-Dokument.doc.doc.doc,/mnt/d/LIBRARY/Review/Unreadable/2002 - Martin Lepage - Microsoft Word-Dokument.doc - 2002 - Martin Lep - 2002 - Martin Lepage - Microsoft Word-Dokument.doc - 2002 - Martin Lepage - Microsoft Word-Dokument.doc.doc.doc,.doc,126976,2012-05-09T15:34:12+00:00,0,,converted_ocr/Review/Unreadable/2002 - Martin Lepage - Microsoft Word-Dokument.doc - 2002 - Martin Lep - 2002 - Martin Lepage - Microsoft Word-Dokument.__df7a9c21f960.md,,,,ok,
Review/Unreadable/2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf - 2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf.pdf,/mnt/d/LIBRARY/Review/Unreadable/2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf - 2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf.pdf,.pdf,3460093,2026-02-12T18:55:16+00:00,0,,converted_ocr/Review/Unreadable/2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf - 2003 - ocr_needed.pdf - 2003 - ocr_needed.pdf.pdf.pdf.md,,,,ok,
